"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","0.6521","0.6207","0.6978","0.5984","2.62B","5.08%"
"11/11/2024","0.6206","0.5884","0.6340","0.5708","1.35B","5.49%"
"11/10/2024","0.5883","0.5593","0.6172","0.5557","1.50B","5.20%"
"11/09/2024","0.5592","0.5537","0.5616","0.5441","495.79M","0.99%"
"11/08/2024","0.5537","0.5553","0.5600","0.5416","553.24M","-0.30%"
"11/07/2024","0.5554","0.5419","0.5769","0.5378","736.69M","2.48%"
"11/06/2024","0.5419","0.5141","0.5467","0.5141","944.95M","5.41%"
"11/05/2024","0.5141","0.5036","0.5188","0.5019","433.03M","2.09%"
"11/04/2024","0.5035","0.5028","0.5145","0.4959","447.20M","0.17%"
"11/03/2024","0.5027","0.5102","0.5111","0.4920","331.11M","-1.47%"
"11/02/2024","0.5102","0.5129","0.5160","0.5065","164.96M","-0.56%"
"11/01/2024","0.5130","0.5095","0.5241","0.5028","568.72M","0.69%"
"10/31/2024","0.5095","0.5230","0.5237","0.5033","418.63M","-2.59%"
"10/30/2024","0.5230","0.5284","0.5285","0.5195","359.85M","-1.01%"
"10/29/2024","0.5284","0.5194","0.5305","0.5182","468.74M","1.72%"
"10/28/2024","0.5194","0.5167","0.5216","0.5116","340.72M","0.51%"
"10/27/2024","0.5167","0.5134","0.5179","0.5108","148.09M","0.66%"
"10/26/2024","0.5134","0.5022","0.5151","0.4992","268.56M","2.20%"
"10/25/2024","0.5023","0.5320","0.5322","0.4903","674.04M","-5.58%"
"10/24/2024","0.5320","0.5258","0.5338","0.5242","393.62M","1.18%"
"10/23/2024","0.5258","0.5339","0.5339","0.5126","436.67M","-1.50%"
"10/22/2024","0.5338","0.5449","0.5496","0.5295","503.58M","-2.04%"
"10/21/2024","0.5449","0.5481","0.5601","0.5412","564.03M","-0.57%"
"10/20/2024","0.5481","0.5423","0.5486","0.5373","246.69M","0.24%"
"10/19/2024","0.5468","0.5465","0.5499","0.5454","392.36M","0.06%"
"10/18/2024","0.5465","0.5440","0.5528","0.5398","437.64M","0.46%"
"10/17/2024","0.5440","0.5482","0.5659","0.5421","621.61M","-0.78%"
"10/16/2024","0.5482","0.5417","0.5534","0.5377","453.27M","1.21%"
"10/15/2024","0.5417","0.5484","0.5553","0.5335","555.17M","-1.23%"
"10/14/2024","0.5484","0.5320","0.5520","0.5281","448.16M","3.09%"
"10/13/2024","0.5320","0.5394","0.5394","0.5254","207.94M","-1.37%"
"10/12/2024","0.5394","0.5387","0.5431","0.5354","185.80M","0.14%"
