"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","34.26","35.74","37.66","33.19","21.39M","-4.17%"
"11/11/2024","35.75","31.88","35.77","30.73","14.39M","12.15%"
"11/10/2024","31.88","30.38","33.27","29.72","12.15M","4.96%"
"11/09/2024","30.37","28.78","30.46","28.52","5.75M","5.53%"
"11/08/2024","28.78","27.38","28.79","27.12","4.92M","5.14%"
"11/07/2024","27.37","27.01","27.99","26.57","4.64M","1.37%"
"11/06/2024","27.01","24.00","27.27","24.00","7.39M","12.55%"
"11/05/2024","24.00","22.72","24.44","22.61","3.54M","5.61%"
"11/04/2024","22.72","23.53","23.93","22.37","3.47M","-3.43%"
"11/03/2024","23.53","24.12","24.20","22.62","3.68M","-2.44%"
"11/02/2024","24.12","24.79","25.01","23.99","1.73M","-2.74%"
"11/01/2024","24.79","25.03","25.71","24.43","3.25M","-0.92%"
"10/31/2024","25.03","26.18","26.22","24.70","2.86M","-4.42%"
"10/30/2024","26.18","26.88","26.90","26.02","3.34M","-2.58%"
"10/29/2024","26.88","26.27","27.15","26.19","3.18M","2.32%"
"10/28/2024","26.27","25.77","26.53","25.06","3.12M","1.98%"
"10/27/2024","25.76","25.41","25.93","25.25","1.38M","1.35%"
"10/26/2024","25.41","24.97","25.68","24.58","2.41M","1.76%"
"10/25/2024","24.98","26.83","26.87","24.15","4.24M","-6.91%"
"10/24/2024","26.83","26.76","27.23","26.40","2.75M","0.24%"
"10/23/2024","26.76","27.64","27.70","25.92","3.35M","-3.16%"
"10/22/2024","27.64","27.75","28.22","27.25","2.72M","-0.38%"
"10/21/2024","27.74","28.97","29.30","27.40","3.26M","-4.23%"
"10/20/2024","28.97","28.10","29.00","27.77","1.89M","3.08%"
"10/19/2024","28.10","28.09","28.45","27.73","1.32M","0.03%"
"10/18/2024","28.09","27.31","28.15","27.12","1.91M","2.92%"
"10/17/2024","27.30","28.03","28.25","26.84","2.57M","-2.60%"
"10/16/2024","28.03","28.23","28.23","27.26","3.69M","-0.68%"
"10/15/2024","28.22","29.07","29.59","27.55","5.17M","-2.91%"
"10/14/2024","29.06","29.06","29.84","28.67","3.74M","0.00%"
"10/13/2024","29.06","28.64","29.33","28.31","2.94M","1.50%"
"10/12/2024","28.63","27.44","29.37","27.40","3.76M","4.37%"
