"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","0.5858","0.6125","0.6518","0.5638","964.63M","-4.35%"
"11/11/2024","0.6125","0.5895","0.6234","0.5654","731.67M","3.91%"
"11/10/2024","0.5894","0.4968","0.6591","0.4888","1.33B","18.97%"
"11/09/2024","0.4954","0.4447","0.4976","0.4275","293.02M","11.56%"
"11/08/2024","0.4441","0.4065","0.4580","0.4043","581.86M","9.24%"
"11/07/2024","0.4065","0.3630","0.4066","0.3616","300.17M","11.95%"
"11/06/2024","0.3631","0.3336","0.3658","0.3336","328.19M","8.85%"
"11/05/2024","0.3336","0.3264","0.3382","0.3262","145.26M","2.21%"
"11/04/2024","0.3264","0.3339","0.3367","0.3206","152.67M","-2.25%"
"11/03/2024","0.3339","0.3481","0.3481","0.3278","165.13M","-4.07%"
"11/02/2024","0.3481","0.3575","0.3636","0.3453","134.29M","-2.63%"
"11/01/2024","0.3575","0.3418","0.3618","0.3345","209.97M","4.58%"
"10/31/2024","0.3418","0.3550","0.3610","0.3404","158.65M","-3.72%"
"10/30/2024","0.3550","0.3561","0.3639","0.3507","168.19M","-0.26%"
"10/29/2024","0.3560","0.3437","0.3570","0.3429","159.54M","3.55%"
"10/28/2024","0.3437","0.3400","0.3475","0.3305","153.29M","1.12%"
"10/27/2024","0.3400","0.3337","0.3422","0.3310","85.75M","1.83%"
"10/26/2024","0.3339","0.3260","0.3349","0.3209","156.41M","2.40%"
"10/25/2024","0.3260","0.3465","0.3470","0.3152","233.75M","-5.91%"
"10/24/2024","0.3465","0.3498","0.3549","0.3400","160.13M","-1.00%"
"10/23/2024","0.3500","0.3645","0.3689","0.3430","157.76M","-3.96%"
"10/22/2024","0.3645","0.3608","0.3680","0.3551","156.12M","1.01%"
"10/21/2024","0.3608","0.3650","0.3725","0.3532","162.29M","-1.15%"
"10/20/2024","0.3650","0.3514","0.3657","0.3483","106.05M","3.86%"
"10/19/2024","0.3514","0.3507","0.3570","0.3492","90.02M","0.22%"
"10/18/2024","0.3507","0.3432","0.3530","0.3427","118.12M","2.17%"
"10/17/2024","0.3432","0.3521","0.3549","0.3396","176.94M","-2.56%"
"10/16/2024","0.3522","0.3592","0.3608","0.3510","139.49M","-1.93%"
"10/15/2024","0.3592","0.3644","0.3705","0.3483","209.36M","-1.43%"
"10/14/2024","0.3644","0.3487","0.3653","0.3425","151.78M","4.51%"
"10/13/2024","0.3487","0.3532","0.3595","0.3445","93.75M","-1.28%"
"10/12/2024","0.3532","0.3517","0.3568","0.3511","75.61M","0.44%"
